sku,range,size,mounted,print_px,megapixels,window_ratio,item_aud,ship_aud,landed_aud,lab,carrier,frame_colours
GLOBAL-BFP-12x12,GLOBAL-BFP,12x12,false,3543x3543,12.6,1,28.65,90.83,119.48,GB,DHL Express,"black natural white"
GLOBAL-BFP-11x14,GLOBAL-BFP,11x14,false,3307x4192,13.9,1.268,28.65,99.02,127.67,GB,DHL Express,"natural white"
GLOBAL-BFP-16x16,GLOBAL-BFP,16x16,false,4724x4724,22.3,1,34.38,99.05,133.43,GB,DHL Express,"black natural white"
GLOBAL-CFP-A5,GLOBAL-CFP,A5,false,1748x2480,4.3,1.419,36,15.1,51.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-A5,GLOBAL-BOX,A5,false,1748x2480,4.3,1.419,40,15.1,55.10,AU,Australia Post,"black natural white"
GLOBAL-CFP-8x8,GLOBAL-CFP,8x8,false,2400x2400,5.8,1,42,15.1,57.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFP-8x10,GLOBAL-CFP,8x10,false,2400x3000,7.2,1.25,42,15.1,57.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFP-A4,GLOBAL-CFP,A4,false,2490x3510,8.7,1.41,42,15.1,57.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-A5,GLOBAL-CFPM,A5,true,1164x1890,2.2,1.624,42,15.1,57.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-A4,GLOBAL-CFPM,A4,true,1594x2622,4.2,1.645,42,15.1,57.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BFP-16x20,GLOBAL-BFP,16x20,false,4724x5905,27.9,1.25,42.01,146.47,188.48,GB,DHL Express,"natural white"
GLOBAL-CFPM-8x8,GLOBAL-CFPM,8x8,true,1800x1800,3.2,1,44,15.1,59.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-8x10,GLOBAL-CFPM,8x10,true,1800x2400,4.3,1.333,44,15.1,59.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-8x8,GLOBAL-BOX,8x8,false,2400x2400,5.8,1,45,15.1,60.10,AU,Australia Post,"black natural white"
GLOBAL-BOX-8x10,GLOBAL-BOX,8x10,false,4800x6000,28.8,1.25,45,15.1,60.10,AU,Australia Post,"black natural white"
GLOBAL-BFP-20x20,GLOBAL-BFP,20x20,false,5905x5905,34.9,1,47.76,146.52,194.28,GB,DHL Express,"black natural white"
GLOBAL-CFP-12x12,GLOBAL-CFP,12x12,false,3600x3600,13,1,48,15.1,63.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-10x10,GLOBAL-BOX,10x10,false,3000x3000,9,1,49.65,90.81,140.46,GB,DHL Express,"black natural white"
GLOBAL-CFP-11x14,GLOBAL-CFP,11x14,false,3307x4192,13.9,1.268,50,15.1,65.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-A4,GLOBAL-BOX,A4,false,4960x7015,34.8,1.414,50,15.1,65.10,AU,Australia Post,"black natural white"
GLOBAL-BFP-20x28,GLOBAL-BFP,20x28,false,5905x8267,48.8,1.4,53.47,216.56,270.03,GB,DHL Express,"natural white"
GLOBAL-CFPM-12x12,GLOBAL-CFPM,12x12,true,2700x2700,7.3,1,55,15.1,70.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-11x14,GLOBAL-CFPM,11x14,true,2409x3295,7.9,1.368,55,15.1,70.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOXM-10x10,GLOBAL-BOXM,10x10,true,2400x2400,5.8,1,57.29,90.81,148.10,GB,DHL Express,"black natural white"
GLOBAL-BOX-11x14,GLOBAL-BOX,11x14,false,3307x4192,13.9,1.268,57.31,99.05,156.36,GB,DHL Express,"black natural white"
GLOBAL-BOXM-A5,GLOBAL-BOXM,A5,true,862x1594,1.4,1.849,58,15.1,73.10,AU,Australia Post,"black natural white"
GLOBAL-CFP-14x14,GLOBAL-CFP,14x14,false,4251x4251,18.1,1,60,15.1,75.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFP-12x16,GLOBAL-CFP,12x16,false,3614x4795,17.3,1.327,60,15.1,75.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFP-A3,GLOBAL-CFP,A3,false,3507x4960,17.4,1.414,60,15.1,75.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-12x12,GLOBAL-BOX,12x12,false,3600x3600,13,1,60,15.1,75.10,AU,Australia Post,"black natural white"
GLOBAL-BFP-24x32,GLOBAL-BFP,24x32,false,7086x9448,66.9,1.333,61.11,216.56,277.67,GB,DHL Express,"natural white"
GLOBAL-CFP-12x18,GLOBAL-CFP,12x18,false,3600x5400,19.4,1.5,62,15.1,77.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-12x16,GLOBAL-CFPM,12x16,true,2400x3600,8.6,1.5,62,15.1,77.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-A3,GLOBAL-CFPM,A3,true,2385x3825,9.1,1.604,62,15.1,77.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOXM-11x14,GLOBAL-BOXM,11x14,true,2421x3307,8,1.366,63.02,99.02,162.04,GB,DHL Express,"black natural white"
GLOBAL-BOX-12x16,GLOBAL-BOX,12x16,false,3600x4800,17.3,1.333,64,15.1,79.10,AU,Australia Post,"black natural white"
GLOBAL-BOXM-8x8,GLOBAL-BOXM,8x8,true,1200x1200,1.4,1,64,15.1,79.10,AU,Australia Post,"black natural white"
GLOBAL-CFP-16x16,GLOBAL-CFP,16x16,false,4800x4800,23,1,65,15.1,80.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOXM-8x10,GLOBAL-BOXM,8x10,true,1800x2400,4.3,1.333,65,15.1,80.10,AU,Australia Post,"black natural white"
GLOBAL-BOXM-A4,GLOBAL-BOXM,A4,true,1590x2490,4,1.566,66,15.1,81.10,AU,Australia Post,"black natural white"
GLOBAL-BOX-16x16,GLOBAL-BOX,16x16,false,4800x4800,23,1,68.77,99.05,167.82,GB,DHL Express,"black natural white"
GLOBAL-CFPM-16x16,GLOBAL-CFPM,16x16,true,3600x3600,13,1,70,15.1,85.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-12x18,GLOBAL-CFPM,12x18,true,2418x4218,10.2,1.744,70,15.1,85.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-12x18,GLOBAL-BOX,12x18,false,3600x5400,19.4,1.5,70,15.1,85.10,AU,Australia Post,"black natural white"
GLOBAL-BOX-A3,GLOBAL-BOX,A3,false,7015x9921,69.6,1.414,70,15.1,85.10,AU,Australia Post,"black natural white"
GLOBAL-BOXM-12x12,GLOBAL-BOXM,12x12,true,2700x2700,7.3,1,70,15.1,85.10,AU,Australia Post,"black natural white"
GLOBAL-CFP-16x20,GLOBAL-CFP,16x20,false,4800x6000,28.8,1.25,75,15.1,90.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOXM-12x16,GLOBAL-BOXM,12x16,true,2400x3600,8.6,1.5,76,15.1,91.10,AU,Australia Post,"black natural white"
GLOBAL-BOXM-A3,GLOBAL-BOXM,A3,true,2328x3780,8.8,1.624,76,15.1,91.10,AU,Australia Post,"black natural white"
GLOBAL-CFP-16x24,GLOBAL-CFP,16x24,false,4800x7200,34.6,1.5,80,15.1,95.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFP-A2,GLOBAL-CFP,A2,false,4960x7015,34.8,1.414,80,15.1,95.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOXM-16x16,GLOBAL-BOXM,16x16,true,3600x3600,13,1,80.21,99.02,179.23,GB,DHL Express,"black natural white"
GLOBAL-BOXM-12x18,GLOBAL-BOXM,12x18,true,2400x4200,10.1,1.75,82,15.1,97.10,AU,Australia Post,"black natural white"
GLOBAL-CFP-20x20,GLOBAL-CFP,20x20,false,6000x6000,36,1,85,15.1,100.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFP-18x24,GLOBAL-CFP,18x24,false,5400x7200,38.9,1.333,85,15.1,100.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-16x20,GLOBAL-CFPM,16x20,true,3600x4800,17.3,1.333,85,15.1,100.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-16x20,GLOBAL-BOX,16x20,false,4800x6000,28.8,1.25,85,15.1,100.10,AU,Australia Post,"black natural white"
GLOBAL-BOXM-16x20,GLOBAL-BOXM,16x20,true,3600x4800,17.3,1.333,90,15.1,105.10,AU,Australia Post,"black natural white"
GLOBAL-CFP-20x28,GLOBAL-CFP,20x28,false,6000x8400,50.4,1.4,95,21.55,116.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-20x20,GLOBAL-CFPM,20x20,true,4800x4800,23,1,95,15.1,110.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-18x24,GLOBAL-CFPM,18x24,true,4200x6000,25.2,1.429,95,15.1,110.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-16x24,GLOBAL-CFPM,16x24,true,3618x6018,21.8,1.663,95,15.1,110.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
