sku,range,size,description,itemAud,shipAud,totalAud,lab,carrier,printAreaPx
GLOBAL-BFP-5x7,GLOBAL-BFP,5x7,"Budget Framed Poster, 13x18cm / 5x7""",19.11,90.86,109.97,prodigi_gb3,DHL Express,1535x2125
GLOBAL-BFP-12x12,GLOBAL-BFP,12x12,"Budget Framed Poster, 30x30cm / 12x12""",28.64,90.86,119.50,prodigi_gb3,DHL Express,3543x3543
GLOBAL-BFP-16x16,GLOBAL-BFP,16x16,"Budget Framed Poster, 40x40cm / 16x16""",34.39,99.07,133.46,prodigi_gb3,DHL Express,4724x4724
GLOBAL-BFP-16x20,GLOBAL-BFP,16x20,"Budget Framed Poster, 40x50cm / 16x20""",42.01,146.55,188.56,prodigi_gb3,DHL Express,4724x5905
GLOBAL-BFP-20x20,GLOBAL-BFP,20x20,"Budget Framed Poster, 50x50cm / 20x20""",47.78,146.59,194.37,prodigi_gb3,DHL Express,5905x5905
GLOBAL-BFP-20x28,GLOBAL-BFP,20x28,"Budget Framed Poster, 50x70cm / 20x28""",53.51,216.73,270.24,prodigi_gb3,DHL Express,5905x8267
GLOBAL-BFP-24x32,GLOBAL-BFP,24x32,"Budget Framed Poster, 60x80cm / 24x31""",61.16,216.68,277.84,prodigi_gb3,DHL Express,7086x9448
GLOBAL-BOX-A5,GLOBAL-BOX,A5,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 14.8x21cm/5.8x8.3""",40.00,15.10,55.10,au6,Australia Post,1748x2480
GLOBAL-BOX-8x10,GLOBAL-BOX,8x10,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 20x25cm/8x10""",45.00,15.10,60.10,au6,Australia Post,4800x6000
GLOBAL-BOX-8x8,GLOBAL-BOX,8x8,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 20x20cm/8x8""",45.00,15.10,60.10,au6,Australia Post,2400x2400
GLOBAL-BOX-A4,GLOBAL-BOX,A4,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 21x30cm / 8.3x11.7""",50.00,15.10,65.10,au6,Australia Post,4960x7015
GLOBAL-BOX-12x12,GLOBAL-BOX,12x12,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 30x30cm/12x12""",60.00,15.10,75.10,au6,Australia Post,3600x3600
GLOBAL-BOX-12x16,GLOBAL-BOX,12x16,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 30x40cm/12x16""",64.00,15.10,79.10,au6,Australia Post,3600x4800
GLOBAL-BOX-12x18,GLOBAL-BOX,12x18,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 30x45cm/12x18""",70.00,15.10,85.10,au6,Australia Post,3600x5400
GLOBAL-BOX-A3,GLOBAL-BOX,A3,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 29x42cm/11x17""",70.00,15.10,85.10,au6,Australia Post,7015x9921
GLOBAL-BOX-16x20,GLOBAL-BOX,16x20,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 40x50cm/16x20""",85.00,15.10,100.10,au6,Australia Post,4800x6000
GLOBAL-BOX-16x24,GLOBAL-BOX,16x24,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 40x60cm/16x24""",95.00,15.10,110.10,au6,Australia Post,4800x7200
GLOBAL-BOX-A2,GLOBAL-BOX,A2,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 42x59cm/17x23""",95.00,15.10,110.10,au6,Australia Post,9921x14031
GLOBAL-BOX-18x24,GLOBAL-BOX,18x24,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 45x60cm/18x24""",100.00,15.10,115.10,au6,Australia Post,5400x7200
GLOBAL-BOX-20x20,GLOBAL-BOX,20x20,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 50x50cm/20x20""",100.00,15.10,115.10,au6,Australia Post,6000x6000
GLOBAL-BOX-5x7,GLOBAL-BOX,5x7,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 13x18cm/5x7""",36.30,90.86,127.16,prodigi_gb3,DHL Express,1535x2125
GLOBAL-BOX-24x24,GLOBAL-BOX,24x24,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 60x60cm/24x24""",115.00,15.10,130.10,au6,Australia Post,7200x7200
GLOBAL-BOX-20x28,GLOBAL-BOX,20x28,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 50x70cm/20x28""",115.00,21.55,136.55,au6,Australia Post,6000x8400
GLOBAL-BOX-4x6,GLOBAL-BOX,4x6,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 10x15cm/4x6""",47.77,90.86,138.63,prodigi_gb3,DHL Express,2400x3600
GLOBAL-BOX-10x10,GLOBAL-BOX,10x10,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 25x25cm/10x10""",49.68,90.88,140.56,prodigi_gb3,DHL Express,3000x3000
GLOBAL-BOX-11x14,GLOBAL-BOX,11x14,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 28x35cm/11x14""",57.34,99.10,156.44,prodigi_gb3,DHL Express,3307x4192
GLOBAL-BOX-24x36,GLOBAL-BOX,24x36,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 61x91cm/24x36""",140.00,21.55,161.55,au6,Australia Post,7200x10800
